OSS_ID,NE,DATE,TABLE,REMARK
eniq_oss_2,MGML201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGPA201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGPA201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGPA201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGPA201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGPA201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGPA201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGPM101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGPM101,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGPM101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGPM101,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGPM101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGPM101,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGPR102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGPR102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGPR102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGPR102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGPR102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGPR102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGPR201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_5,MGPR201,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_5,MGPR201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_5,MGPR201,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_5,MGPR201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_5,MGPR201,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_2,MGPW102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
eniq_oss_2,MGPW102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_RAW,OK
eniq_oss_2,MGPW102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_DELTA,OK
eniq_oss_2,MGPW102,2020-03-19 09:30:00,DC_E_MGW_MSDEVICEPOOL_RAW,OK
eniq_oss_2,MGPW102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_DELTA,OK
eniq_oss_2,MGPW102,2020-03-19 09:30:00,DC_E_MGW_PLUGINUNIT_V_RAW,OK
eniq_oss_5,MGRK102,2020-03-19 09:30:00,DC_E_MGW_MGWAPPLICATION_DELTA,OK
